;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Thyasira flexuosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020957224;0.03147604;0;0;0.068809534;0;0;0
Thyasira sarsi;0.061047358;0.295328604;0.150577984;0.100605151;0.317939729;0;0.367753982;0;0.613579269;0.003748942;0.06598976;0.2384776;0.116769198;0.148539877;0;0.368166027;0.202939236;0.240049367;0.009809437;0;0.006304944;0.072461691;0.180987346;0.066255546;0.02639295;0.019186235;0.014372164;0.0490954;0;0.016990442
Yoldiella fraterna;0;0;0;0;0;0.030972072;0;0;0;0;0;0.01061653;0;0;0;0;0;0.004148887;0;0;0;0;0;0;0;0;0;0;0;0
Yoldiella frigida;0;0;0.012085502;0;0;0;0;0;0.129853485;0.154371347;0.049844959;0.057488658;0;0;0;0;0;0.057488658;0;0;0;0;0.003748942;0;0.00824872;0;0;0;0;0.005081327
Yoldiella intermedia;0;0;0.008863826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yoldiella lenticula;0.065396933;0.898807552;0.030828867;0.1245053;0.524298029;0;0.519676568;0.011322003;0.668991926;0.003152472;0.159096406;0.633423075;0;0.293787544;0.207465512;0.409096034;0.55058272;0.175738577;0;0.008066818;0.708520524;0.793429941;0;1.970655079;0.063668301;0.024200455;0.137619069;0.328605649;0.110195945;0.19175772
Yoldiella lucida;0.00854574;0.086166242;0.029798971;0.024893319;0.152557312;0.055558166;0.069186799;0.017719892;0.0903602;0.008916537;0.006267672;0.044134608;0;0.151982965;0;0.10309591;0.015243982;0.065679628;0.001874471;0;0.049537575;0;0;0;0;0;0;0;0;0
Yoldiella nana;0.059834565;0.435280277;0.103882106;0.143829923;0.971724161;0;0.21074719;0;0.205473833;0.028404626;0.024124535;0.144484068;0;0.478553277;0;0.418622828;0.100013824;0.238027242;0.005623413;0;0.19653639;0.083014867;0.022816408;0.016889491;0.086950061;0.00824872;0.145452536;0.065396933;0.022067304;0.142788081
Yoldiella persei ;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yoldiella solidula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012625253;0.04057307;0;0;0;0.050668474;0.156830879;0.083832835
Alcyonidium gelatinosum;0;0;0.03276145;0;0;0;0;0;0;0;0.019041263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alcyonidium sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0.030371528;0;0;0;0;0;0;0;0;0.015693342;0;0;0;0;0;0.003152472;0
Bryozoa gen.sp.;0;0;0;0;0;0;0;0;0;0.071749855;0;0.46862563;0;0;0;0;0;0;0;0;0;0;0.00427287;0;0;0;0;0;0;0
Callopora craticula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0
Cellepora sp. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010540926;0;0;0;0.039395783;0;0
