;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Cylichna occulta;0;0;0.021081851;0;0;0;0;0.006977568;0.00427287;0;0;0.014372164;0;0.005301805;0;0;0.012833238;0;0;0;0.048655688;0.00427287;0;0;0;0;0;0;0;0
Cylichna scalpta;0;0;0;0;0;0;0;0;0;0;0;0;0.007186082;0.003152472;0;0;0.014372164;0;0;0;0;0;0;0;0;0;0;0;0;0
Frigidoalvania sp.;0.019657994;0;0.024200455;0;0.005301805;0;0.009740037;0.00745356;0.032267273;0;0;0;0;0;0;0.013774493;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laona finmarchica;0;0;0;0;0;0;0;0;0;0.107076892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lepeta caeca;0;0;0;0;0;0;0;0;0;0.74268159;0;0;0;0;0;0;0;0;0;0;0;0;0.187734659;0;0;0;0;0.053397163;0.091696446;0
Margarites groenlandicus;0.018662634;0.036118037;0;0;0;0;0.037431531;0;0.005301805;0;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0
Margarites helicinus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012085502;0;0
Margarites olivaceus;0;0;0;0;0;0;0.01060361;0;0;0.021582848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015261378
Neptunea despecta;0;0;0;0;0;0;0;0;0.006267672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Onobe sp.;0;0;0.016889491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Philine sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.280979123;0;0;0;0;0;0
Propebela nobilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.396656943;0;0;0;0;0
Propebela sp.;0.055836292;0;0;0;0.014900594;0;0;0.052202626;0.027857026;0;0;0;0;0.00427287;0;0;0;0.005081327;0;0;0;0;0;0;0;0;0;0;0;0
Retusa sp.;0;0;0;0;0;0;0;0;0;0;0;0;0.020205155;0;0;0;0.002229134;0.002466943;0;0;0;0;0;0;0;0;0;0;0;0
Rissoidae gen.sp.;0;0;0;0;0;0;0;0;0.011582922;0;0;0;0;0;0;0;0;0;0;0;0.008066818;0;0;0;0;0;0;0;0;0
Velutina sp.;0;0;0;0;0;0;0;0;0;0;0;0;0.059719997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chiridota laevis;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007186082;0;0;0.21924421;0;0;0;0;0;0;0;0;0;0;0;0;0
Eupyrgus scaber;0;0;0;0;0;0;0;0;0.012833238;0;0.00427287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007186082;0;0
Labidoplax buskii;0;0;0;0;0;0;0;0;0;0;0;0;0.166277498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Molpadia borealis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.052458932
Psolus fabricii;0;0;0;0;0;0;0;0;0;6.873429154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psolus sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.160693235;0;0;0;0;0;0
Trochoderma elegans;0.001874471;0;0;0;0.008066818;0;0;0;0.014995769;0;0;0;0.017833075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0.012535344;0
Myriotrochus rinkii;0;0;0;0;0;0;0;0.217804094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mollusca rest;0.006267672;0;0;0.020205155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enoplus sp.;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0.035236894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nematoda;0;0;0;0;0;0.003748942;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nemertea gen.sp.;0;0.00427287;0.013121298;0;0;0.006977568;0;1.143201097;0.048342006;0;0.043735159;0;0.068530036;0;0;0;0;0.04246612;0.031399054;0;0;0;0.010540926;0.015261378;0;0;0;0.078595936;0.138512161;0
Gorgonocephalus arcticus;0;0;0.726922814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ophiacantha bidentata;0.279978207;0;0;0;0;0;0;0.012085502;0;0.00824872;0;0;0;0;0;0;0.455861142;0;0;0;0;0;0.714166129;0.22153877;0;0;0;0.001874471;0.022816408;0.060186627
Ophiocten sericeum;0.173318652;0;0;0;0.001874471;0.281635756;0;0.197050659;1.665165978;0.672628097;0.392605462;0.738842939;0;0;0;0.095927681;0.226106704;0.18532675;0.193368025;0;0;0;0.126371537;0.234995009;0.885488571;0;0.009740037;0.339155569;0.088284929;0.034748766
Ophiopleura borealis;0;0;0;0;0;0;0.114297617;0;0;0;0;0;0;0;0;1.300661041;0;0;0;0;0;0;0;0;0;0.022816408;0;0;0;0
Ophiopus arcticus;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0.029285828;0;0;0;0.028689068;0;0;0.029253457;0;0;0.192374878;0;0;0;0;0;0;0
Ophiura robusta;0.058571657;0;0;0;0;0.005301805;0;0;0;0.307663528;0.218993435;0;0.163657575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ophiura sarsi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01060361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.668493789
Ophiuroidea gen.sp. juv.;0.016930343;0;0;0;0.001874471;0.020085103;0;0.027548986;0.003152472;0.032699658;0.005081327;0.001874471;0.003152472;0.013774493;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0
Stegophiura nodosa;0;0.009740037;0;0;0;0;0.020957224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nymphon sp.;0.081828788;0;0;0;0;0.00854574;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0;0;0.001874471
Pantopoda gen. sp.;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pantopoda gen.sp.;0;0.001874471;0;0;0;0;0;0;0.001874471;0.006267672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aglaophamus malmgreni;0.053846371;0;0;0.556945213;0.066607452;0;0;0;0;0.009740037;0.092499136;0.424645721;0.014372164;0.630618716;0.35941743;0.466227111;0;0.022450409;0.097311377;0;0.030828867;0;0.06129779;0.238917294;0.019041263;0.035245709;0.034117244;0.046813476;0;0.17805537
Aglaophamus rubellus (?);0;0.038372471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ampharete finnmarchica;0.056473418;0;0.06598976;0;0.02981424;0.047886242;0;0;0.001874471;0.006267672;0.147651322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ampharete sp.;0;0;0.010162655;0;0;0.037606031;0;0;0.013333333;0.005301805;0.00824872;0;0.003152472;0;0;0;0;0;0;0.101924634;0;0;0.076031835;0.127624817;0.006267672;0;0;0.084101266;0.025219776;0.020957224
Ampharetidae gen. sp.;0;0;0.001874471;0;0.004148887;0;0;0.00427287;0.008916537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amphicteis gunneri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.021207219;0;0;0;0;0
Amphicteis ninonae;0;0;0;0.006304944;0.035773084;0.045020287;0;0.005081327;0.006304944;0.130813533;0.021081851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antinoella finnmarchica;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apistobranchus tullbergi;0.001874471;0;0;0;0;0;0;0;0;0;0.00854574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aricidea nolani;0.003748942;0;0;0.016930343;0.001874471;0.004458269;0;0.011246827;0.011582922;0;0.004458269;0.003748942;0.007928047;0.003152472;0;0.003152472;0.00854574;0;0;0;0;0;0;0;0;0;0;0;0;0
Aricidea quadrilobata;0;0;0;0;0;0;0;0;0;0;0;0;0.003748942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aricidea sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004148887;0.011246827;0;0;0;0.009809437;0;0
Artacama proboscidea;0;0.024494897;0;0;0;0;0;0;0.082832832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Axiothella cathenata;0.003748942;0;0;0;0;0;0;0;0;0;0.016990442;0;0.00854574;0;0;0;0;0.024626348;0;0;0.076838454;0;0;0;0;0;0;0;0;0
Brada inhabilis;0;0;0;0;0;0;0;0;0;0;0;0;0.156851819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brada sp.;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brada vilosa;0;0;0;0;0;0;0;0;0;0;0;0;0.0779203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Branchiomma arcticum;0.019041263;0;0;0;0;0;0;0;0.041699199;0;0.018615926;0;0;0;0;0;0;0;0.024626348;0;0;0;0;0;0;0;0;0;0;0.303117267
Bylgides annenkovae;0;0.00427287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bylgides sp.;0;0;0;0;0.005301805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capitella capitata;0.003152472;0.011734823;0.00745356;0.005301805;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0.008066818;0;0;0;0.021582848;0;0;0;0;0;0;0
Capitellidae gen. sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004148887;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaetozone setoza;0.055547311;0.053592025;0.011688713;0.138448902;0.060898223;0.410125886;0.003748942;0.156557127;0.212930448;0.028835385;0.154747733;0;0.231506187;0;0.035204469;0.038102349;0.013464206;0.085333158;0;0.01281861;0.003152472;0;0.039305826;0.166989461;0.045625278;0;0;0.189302997;0;0.243534599
Chone infundibuliformes;0;0;0;0;0;0.12171921;0;0.002466943;0.045351708;0;0;0;0.06796057;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0
Cirratulidae gen.sp.;0;0;0;0;0;0;0;0.023885348;0;0;0;0.016133637;0;0.009593118;0;0.030925428;0.00427287;0;0;0;0;0;0;0;0;0;0;0;0;0
Clymenura polaris;0;0;0;0;0;0;0;0;0;0;0;0;0.010745699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cossura longocirrata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005081327;0;0;0;0;0;0;0;0;0;0;0;0;0
Cossura pygodactilata;0;0;0.005623413;0;0.002802988;0;0;0.004148887;0.052174919;0.003152472;0.005301805;0;0;0;0;0;0.00824872;0;0;0;0;0;0;0;0;0;0;0;0;0
Diplocirrus longicetosus;0;0;0;0;0;0;0;0;0;0;0;0;0.008916537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diplocirrus sp.;0.001874471;0;0;0;0;0.014287202;0;0;0.010540926;0;0.00745356;0;0.006304944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dorvilleidae g. sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011582922;0;0;0;0.001874471;0;0;0;0.002229134;0;0
Eteone barbata;0;0;0;0;0;0;0;0.010162655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eteone flava;0;0;0.001874471;0.00427287;0.005623413;0;0;0.106794326;0.052973985;0;0.010162655;0;0.264229029;0;0;0;0;0.004148887;0;0;0;0;0;0;0;0;0;0.008916537;0;0
Eteone longa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0.017854804;0;0;0;0;0;0.003152472
Eteone sp.;0;0;0;0;0;0;0;0;0;0;0.034291245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euchone analis;0;0;0;0;0;0.003152472;0;0.005623413;0;0;0;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0
Euchone papillosa;0.085903653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euchone sp.;0;0;0.010540926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eunoe nodosa;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0.022816408;0;0;0;0;0;0;0;0;0;0;0;0;0;0.108533738;0
Eunoe sp.;0;0;0;0;0;0;0;0;0.028404626;0;0.267298148;0.022202484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Exogone sp.;0;0;0;0;0;0;0;0;0;0;0;0;0.004458269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galathowenia oculata;0.00854574;0.001874471;0;0.076760669;0.122100455;0.120112325;0;0.047067658;0.022450409;0.001874471;0.151361355;0;0.047582988;0.007186082;0;0;0;0.001874471;0;0;0;0;0.008863826;0.013333333;0.025070687;0;0;0.001874471;0;0
Gattyana sp.;0;0;0;0;0;0;0;0;0.006267672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glycera capitata;0;0;0;0;0;0.100282749;0;0.031386684;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0.012833238;0;0;0;0;0.009740037;0;0
Glycera sp.;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glypanostomum pallescens;0.006267672;0;0.019735541;0;0;0;0;0;0.016990442;0;0.008916537;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0
Hesionidae gen.sp.;0.002229134;0;0;0;0;0;0;0;0;0;0;0.003748942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hirudinea gen. sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0
Jasmineira schaudinni;0.017833075;0;0.008066818;0;0;0;0;0.029828787;0.011688713;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0
Laonice cirrata;0;0;0;0;0.089752294;0;0;0;0.924554178;0;0;0;0;0;0;0.067837155;0;0;0;0;0;0;0.065396933;0.025219776;0;0;0;0.148511831;0;0
Laphania boecki;0;0;0;0;0;0.003152472;0;0.005301805;0.014900594;0;0.014564753;0;0.01060361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Levinsenia gracilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0.007400828;0;0;0;0.005127737;0;0
Lumbrinereis tetraura;0;0.003152472;0.104786119;0;0;0;0;0.005081327;0.001874471;0;0.038885249;0.010540926;0;0;0;0;0;0;0.03147604;0;0;0;0;0;0;0;0;0;0;0
Lysippe labiata;0.006304944;0;0;0;0;0.008066818;0;0.00745356;0.016380725;0;0;0;0.103438069;0;0;0;0;0;0;0;0;0;0.00427287;0;0;0;0;0;0;0
Lysippe sexticirrata;0;0;0;0;0;0;0;0.004458269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maldane arctica;0.573005118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maldane sarsi;0.84738462;0;0.207138991;0.270606716;0.005081327;0.065570937;0;0;0.067833586;0;0.031386684;0;0.00824872;0.166277498;0;0.066607452;0;0;0.013464206;0.009593118;0;0;0.204211377;0.165495323;0.387828747;0;0;0.094409012;0.003152472;0.18926585
Maldanidae gen.sp.;0.005301805;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0.02032531;0;0.029285828;0;0;0;0;0;0;0;0;0.055682614;0.025808585;0.086688165;0;0;0
Marenzellaria sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005623413;0;0;0.013566717;0.006042751;0;0;0;0;0.021582848;0
Marenzelleria arctia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010162655;0;0
Mellinae elisabethae;0;0;0.016889491;0.183057724;0;0;0;0;0;0.109416747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008066818;0
Micronephthys minuta;0.015243982;0.076346802;0.042163702;0.021900562;0.089730271;0.005081327;0.015243982;0;0.01281861;0;0.027181665;0.003748942;0.045083103;0.006304944;0.004933885;0.018128252;0.023320689;0.009372355;0.002229134;0;0.005301805;0.003748942;0;0.01281861;0;0;0;0.003152472;0;0
Minuspio cirrifera;0;0;0.165545402;0.040434282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myriochele heeri;0.156742175;0.006304944;0.168761378;0.093868079;0.12649967;0;0;0;0;0;0;0.011734823;0.024561407;0.114977316;0;0.001874471;0;0;0;0.003748942;0.00427287;0;0;0;0;0;0;0;0;0
Nephtidae gen. sp.;0.086632818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005301805;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nephtys caeca;0;0;0;0;0;0;0;0;0;0;0;0;0.03147604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nephtys ciliata;0;0;0;0.104147071;0.018803015;0;0;0;0.192612189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nephtys pente;0;0;0;0;0;0;0;0;0;0;0;0;0.137619069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nephtys sp.;0;0;0;0;0;0.009457416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0720716;0;0;0;0;0.068899337;0
Nereis gracilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00427287;0;0;0;0;0;0;0;0;0
Nereis sp.;0;0;0.017727653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nereis zonata;0.021207219;0;0;0;0;0.046331687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0
Nicolea sp.;0;0;0;0;0;0;0;0;0;0;0;0.04777214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nicomache lumbricalis;0;0;0.546661137;0;0;0;0;0.00854574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nicomache sp.;0;0;0;0;0;0;0;0.00854574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00854574;0.00427287;0;0;0;0.003152472;0.191097539;0
Nothria hyperborea;0.078325783;0;0;0;0;1.378135064;0;0;0;0.001874471;0;0;0;0;0;0;0.012085502;0;0;0;0;0;0.001874471;0.008066818;0;0;0.17915999;0;0;0
Notomastus latericeus;0;0;0.022193737;0;0.035996765;0.003152472;0;0;0.011582922;0.00745356;0.003152472;0;0.015243982;0;0;0;0.003152472;0;0;0;0;0;0.003152472;0.009809437;0;0;0;0;0;0
Notomastus sp.;0;0;0.011734823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ophelia limacina;0;0;0;0;0;0;0;0;0;0;0;0;0.004148887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ophelia sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043404694;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ophelina abranchiata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.070129414;0;0;0;0.018744711;0.010745699;0;0;0
Ophelina acuminata;0.003152472;0.032839814;0.025406637;0;0.004458269;0;0;0;0.07423848;0.006687403;0;0.001874471;0;0.015842917;0;0.005081327;0.007497884;0;0;0;0;0;0;0;0;0;0;0;0;0
Ophelina cylindricauda;0;0;0;0;0;0;0;0;0.020932703;0.007497884;0.037756937;0;0.003152472;0;0;0;0.013333333;0.029253457;0.012062707;0;0.058108604;0;0;0;0;0;0;0;0;0
Owenia fusiformis;0.038082526;0.011322003;0;0;0;0.003152472;0;0;0.011582922;0;0;0;0.012609888;0;0;0;0;0;0.00427287;0;0;0;0;0;0;0;0;0;0;0
Oweniidae gen.sp.;0;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paradiopatra fjordica;0.001874471;0;0;0;0;0;0;0;0.016380725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paraonidae gen.sp.;0;0;0;0;0;0.003152472;0;0;0;0;0.00427287;0;0.011246827;0;0.048146828;0;0.011408204;0.015243982;0;0;0.021582848;0;0;0;0;0;0;0;0;0
Paraonidae gen.sp.;0;0;0;0;0;0;0;0;0;0;0.005301805;0;0;0;0.040170207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paraonides nordica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023498243;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pectinaria hyperborea;0;0.091346886;0;0;0;0;0;0;0;0;0;0;0.125249917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pherusa plumosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.096684013
Pherusa sp.;0;0;0;0.01709148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pholoe longa;0;0;0;0.005623413;0.002229134;0.006389431;0;0;0.072517154;0.013972139;0.016595546;0.001874471;0.065701687;0;0.005623413;0;0.005081327;0.019168293;0.004148887;0;0;0;0;0.016595546;0;0;0;0.013121298;0.001874471;0
Pholoe sp.;0;0;0.00745356;0.003748942;0.001874471;0.013087008;0;0.051414831;0.01576236;0;0.028117066;0.005081327;0.174280596;0.003152472;0;0.003152472;0.005301805;0;0;0;0;0;0;0;0;0;0;0;0;0
Phyllodoce groenlandica;0;0;0.125249917;0;0.020957224;0;0;0.012085502;0;0;0.064905156;0;0.006304944;0;0.345262736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phyllodoce maculata;0;0;0;0;0;0;0;0;0.005301805;0.20205155;0;0;0.018388369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phyllodoce mucoza;0;0;0.031399054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polychaeta gen. sp. ;0.140034361;0.055058978;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0.006267672;0;0;0.011582922;0;0;0.012609888;0.012085502;0;0;0;0;0
Polycirrus medusa;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polynoidae gen. sp. ;0;0.002229134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073825661;0;0;0.01281861;0;0;0;0;0;0;0
Potamethus malmgreni;0;0;0;0;0;0;0;0;0;0;0;0.303375276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Praxillella gracilis;0;0;0;0.246379923;0.210859997;0;0;0;0.200095239;0;0;0;0;0;0;0.025219776;0;0;0;0;0;0;0;0.088250147;0.156246258;0;0.038885249;0;0;0.128236116
Praxillella praetermissa;0;0;0;0.178865418;0;0;0;0.00824872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Praxillella sp.;0;0;0;0;0;0.005081327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Praxillura longissima;0;0;0;0.034748766;0.041238364;0.112447193;0;0;0;0.01281861;0.347096114;0;0;0;0;0;0;0.00427287;0;0;0;0;0;0;0;0;0;0;0;0
Proclea graffii;0;0;0;0;0;0;0;0.009457416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pseudopotamilla neglecta;0;0;0;0;0;0;0;0;0;0.123727061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhodine gracilis;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sabellidae gen. sp.;0.00427287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005081327;0;0;0;0;0.005081327;0.020653599;0
Scalibregma inflatum;0;0;0.053946065;0;0;0.01060361;0;0.007186082;0.015905415;0;0.023469646;0;0.009457416;0.006267672;0;0.00427287;0;0.003748942;0;0;0;0;0.04041031;0;0;0;0;0;0;0
Scalibregma sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.129184005;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Scoletoma fragilis;0.018416104;0.112921252;0.013464206;0.089802489;0.076346802;0.020085103;0.052010162;0;0.745860851;0.01061653;0.708441229;0.152700706;0.060860922;0.027309698;0.617293788;0.84894694;0.099749057;0.149761345;0.013774493;0;0.00427287;0.001874471;0.228009995;0.182050112;0.0640441;0.003152472;0.003152472;0.099019246;0.319001023;0.078791567
Scoloplos  sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005081327;0.023469646;0;0;0;0.00427287;0;0
Scoloplos acutus;0.01687024;0;0;0;0.160384086;0.006977568;0;0;0.013333333;0;0.024391766;0;0.187942811;0;0.008066818;0;0.051818511;0;0;0;0;0;0;0;0;0;0;0;0;0
Scoloplos gr. armiger;0;0;0;0;0;0;0;0.043404694;0;0;0;0;0;0;0;0.022193737;0.009457416;0;0;0;0;0;0;0;0.009593118;0;0.00427287;0;0;0
Sphaerodoridae gen.sp.;0;0;0;0;0;0;0;0.003152472;0;0;0;0.003152472;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sphaerodoropsis minuta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Sphaerodoropsis sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sphaerodorum gracilis;0.014564753;0;0.001874471;0;0;0.006977568;0.001874471;0;0;0;0.005301805;0;0;0;0;0;0;0.004148887;0;0;0;0;0.005301805;0;0;0;0;0;0;0
