/* DATA DESCRIPTION:
	HE335/005-3 * LATITUDE: 54.501830 * LONGITUDE: 8.171000 * DATE/TIME: 2010-09-09T11:08:00 * ELEVATION: -12.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/006-1 * LATITUDE: 54.583000 * LONGITUDE: 8.167500 * DATE/TIME: 2010-09-09T11:36:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/006-2 * LATITUDE: 54.583330 * LONGITUDE: 8.169170 * DATE/TIME: 2010-09-09T11:38:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/006-3 * LATITUDE: 54.583830 * LONGITUDE: 8.170170 * DATE/TIME: 2010-09-09T11:40:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/007-1 * LATITUDE: 54.668000 * LONGITUDE: 8.165670 * DATE/TIME: 2010-09-09T12:11:00 * ELEVATION: -9.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/007-2 * LATITUDE: 54.668670 * LONGITUDE: 8.166670 * DATE/TIME: 2010-09-09T12:13:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/007-3 * LATITUDE: 54.669000 * LONGITUDE: 8.166670 * DATE/TIME: 2010-09-09T12:14:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/008-1 * LATITUDE: 54.750500 * LONGITUDE: 8.167670 * DATE/TIME: 2010-09-09T12:45:00 * ELEVATION: -9.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/008-2 * LATITUDE: 54.751000 * LONGITUDE: 8.169170 * DATE/TIME: 2010-09-09T12:47:00 * ELEVATION: -8.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/008-3 * LATITUDE: 54.751500 * LONGITUDE: 8.170330 * DATE/TIME: 2010-09-09T12:49:00 * ELEVATION: -9.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
